Rank,Title,Director,Tagline,Overview,Runtime,Genres,Release Year,Cast,Rating
9220,Newsies,Kenny Ortega,A Thousand Voices. A Single Dream.,"A week in the life of the exploited, child newspaper sellers in turn-of-the-century New York. When their publisher, Joseph Pulitzer, tries to squeeze a little more profit out of their labours, they organize a strike, only to be confronted with the Pulitzer's hard-ball tactics.",121,"Drama, Music, History, Family",1992,"Christian Bale, Bill Pullman, Ann-Margret, Robert Duvall, David Moscow, Luke Edwards, Max Casella, Gabriel Damon, Marty Belafsky, Aaron Lohr, Dee Caspary, Shon Greenblatt",6.722
9221,The Green Butchers,Anders Thomas Jensen,There is something mythological about killing an animal and then mocking it by sticking it into its own intestine,"A black comedy featuring two butchers, Svend ""Sweat"" and Bjarne, who start their own shop to get away from their arrogant boss. Cannibalism is soon introduced to the plot, and further complications arise due to the reappearance of Bjarne's intellectually disabled twin brother Eigil.",100,Comedy,2003,"Nikolaj Lie Kaas, Mads Mikkelsen, Line Kruse, Nicolas Bro, Aksel Erhardtsen, Bodil Jørgensen, Ole Thestrup, Lily Weiding, Camilla Bendix, Tomas Villum Jensen, Elsebeth Steentoft, Mikkel Vadsholt",7.115
9222,Manderlay,Lars von Trier,Liberation. Whether They Want It Or Not.,"In 1933, after leaving Dogville, Grace Margaret Mulligan sees a slave being punished at a cotton farm called Manderlay. Officially, slavery is illegal and Grace stands up against the farmers. She stays with some gangsters in Manderlay and tries to influence the situation. But when harvest time comes, Grace sees the social and economic reality of Manderlay.",139,Drama,2005,"Bryce Dallas Howard, Isaach De Bankolé, Danny Glover, Willem Dafoe, Michaël Abiteboul, Lauren Bacall, Jean-Marc Barr, Geoffrey Bateman, Virgile Bramly, Ruben Brinkman, Doña Croll, Jeremy Davies",6.9
9223,Great White,Martin Wilson,Take your final breath.,"A sea plane is destroyed in a freak accident, five people find themselves drifting on a raft. At the mercy of the tide and with no hope of rescue, the helpless situation takes a horrifying turn when they are terrorized by a ravenous great white.",91,"Horror, Thriller",2021,"Katrina Bowden, Te Kohe Tuhaka, Aaron Jakubenko, Kimie Tsukakoshi, Tatjana Marjanovic, Jason Wilder, Tim Kano",5.278
9224,Eye of the Needle,Richard Marquand,To love a stranger is easy. To kill a lover is not.,"Great Britain, 1944, during World War II. Relentlessly pursued by several MI5 agents, Henry Faber the Needle, a ruthless German spy in possession of vital information about D-Day, takes refuge on Storm Island, an inhospitable, sparsely inhabited island off the coast of northern Scotland.",108,"Drama, Thriller",1981,"Donald Sutherland, Kate Nelligan, Ian Bannen, Christopher Cazenove, Faith Brook, Barbara Ewing, David Hayman, Alex McCrindle, Philip Martin Brown, Stephen MacKenna, George Belbin, Barbara Graley",6.585
9225,Free Solo,"Elizabeth Chai Vasarhelyi, Jimmy Chin",Live beyond fear.,"Follow Alex Honnold as he attempts to become the first person to ever free solo climb Yosemite's 3,000 foot high El Capitan wall. With no ropes or safety gear, this would arguably be the greatest feat in rock climbing history.",100,"Documentary, Adventure",2018,"Alex Honnold, Tommy Caldwell, Jimmy Chin, Sanni McCandless, Mikey Schaefer, Cheyne Lempe, Derek Hersey",7.919
9226,Stand Up Guys,Fisher Stevens,They don't make 'em like they used to.,"After serving 28 years in prison for accidentally killing the son of a crime boss, newly paroled gangster Val reunites with his former partners in crime, Doc and Hirsch, for a night on the town. As the three men revisit old haunts, reflect on their glory days and try to make up for lost time, one wrestles with a terrible quandary: Doc has orders to kill Val, and time is running out for him to figure out a way out of his dilemma.",95,"Thriller, Comedy, Action",2012,"Christopher Walken, Al Pacino, Alan Arkin, Julianna Margulies, Addison Timlin, Vanessa Ferlito, Mark Margolis, Katheryn Winnick, Lucy Punch, Bill Burr, Lauriane Gilliéron, Courtney Galiano",6.001
9227,Lion of the Desert,Moustapha Akkad,He was a man of honor in a war without any.,"This movie tells the story of Omar Mukhtar, an Arab Muslim rebel who fought against the Italian conquest of Libya in WWII. It gives western viewers a glimpse into this little-known region and chapter of history, and exposes the savage means by which the conquering army attempted to subdue the natives.",173,"History, War, Drama",1981,"Anthony Quinn, Rod Steiger, Oliver Reed, Irene Papas, Raf Vallone, John Gielgud, Andrew Keir, Gastone Moschin, Stefano Patrizi, Adolfo Lastretti, Sky du Mont, Takis Emmanuel",7.301
9228,A Dirty Carnival,Yoo Ha,A world without trust and mercy.,A small-time thug who collects debts for the local triad is torn between his criminal aspirations and his devotion to family.,141,"Crime, Drama, Action",2006,"Zo In-sung, Cheon Ho-jin, Namkoong Min, Lee Bo-young, Jin Goo, Yoon Je-moon, Eun-Sook Sunwoo, Lee Jong-hyuk, Cho Jin-woong, Huh Yi-jae, Lee Shin-seong, Kwon Tae-won",7.0
9229,Brooklyn's Finest,Antoine Fuqua,This is War. This is Brooklyn.,Enforcing the law within the notoriously rough Brownsville section of the city and especially within the Van Dyke housing projects is the NYPD's sixty-fifth precinct. Three police officers struggle with the sometimes fine line between right and wrong.,133,"Crime, Drama, Thriller",2010,"Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes, Vincent D'Onofrio, Ellen Barkin, Michael Kenneth Williams, Shannon Kane, Brían F. O'Byrne, Will Patton, Lili Taylor, Wass Stevens",6.284
9230,Vanishing Point,Richard C. Sarafian,It's the maximum trip... at maximum speed.,"Kowalski works for a car delivery service, and takes delivery of a 1970 Dodge Challenger to drive from Colorado to San Francisco. Shortly after pickup, he takes a bet to get the car there in less than 15 hours.",99,"Action, Crime, Drama",1971,"Barry Newman, Cleavon Little, Dean Jagger, Victoria Medlin, Gilda Texter, Lee Weaver, Timothy Scott, Robert Donner, Paul Koslo, Cherie Foster, Charlotte Rampling, Tom Reese",7.2
9231,Harriet the Spy,Bronwen Hughes,On your case!,"When the secret notebook of a young girl who fancies herself a spy is found by her friends, her speculations make her very unpopular! Can she win her friends back?",100,"Comedy, Drama, Family",1996,"Michelle Trachtenberg, Rosie O'Donnell, J. Smith-Cameron, Eartha Kitt, Vanessa Lee Chester, Gregory Smith, Robert Joy, Dov Tiefenbach, Charlotte Sullivan, Teisha Kim, Cecilley Carroll, Nina Shock",6.029
9232,A Serious Man,"Joel Coen, Ethan Coen",…seriously!,"It is 1967, and Larry Gopnik, a physics professor at a quiet Midwestern university, has just been informed by his wife Judith that she is leaving him. She has fallen in love with one of his more pompous acquaintances Sy Ableman.",106,"Comedy, Drama",2009,"Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick, Aaron Wolff, Jessica McManus, Peter Breitmayer, Brent Braunschweig, David Kang, Benjamin Portnoe, Jack Swiler, Andrew S. Lentz",6.749
9233,Caliber 9,Fernando Di Leo,,"Just out of prison, ex-con Ugo Piazza meets his former employer, a psychopathic gangster Rocco who enjoys sick violence and torture. Both the gangsters and the police believe Ugo has hidden $300,000 that should have gone to an American drug syndicate boss.",102,"Crime, Thriller, Action",1972,"Gastone Moschin, Barbara Bouchet, Mario Adorf, Frank Wolff, Luigi Pistilli, Ivo Garrani, Lionel Stander, Philippe Leroy, Mario Novelli, Giuseppe Castellano, Salvatore Arico, Fernando Cerulli",7.511
9234,A Girl at My Door,July Jung,I'll do my best. I'll do anything.,"Sent from Seoul to serve in a remote coastal village, a policewoman gets involved in the life of a mysterious teenage girl who is abused by both her father and her grandmother.",119,Drama,2014,"Bae Doona, Kim Sae-ron, Song Sae-byuk, Kim Jin-goo, Son Jong-hak, Na Jong-min, Gong Myeong, Kim Jong-goo, Park Jin-woo, Moon Sung-keun, Jang Hee-jin, Kim Min-jae",6.833
9235,Cow Belles,Francine McDougall,,"In order to learn how to be responsible, two wealthy teen sisters are forced to work in the family business by their exasperated father. When company funds goes missing, it's up to the girls to save the day.",90,"Comedy, Family, TV Movie",2006,"Aly Michalka, AJ Michalka, Jack Coleman, Michael Trevino, Sheila McCarthy, Christian Serratos, Ron Gabriel, Chris Gallinger, Michael Rhoades, Von Flores, Sandy Robson, Duane Murray",5.5
9236,Fighter,Siddharth Anand,,"Top IAF aviators come together in the face of imminent danger, to form Air Dragons. Fighter unfolds their camaraderie, brotherhood and battles, internal and external.",167,"Action, Adventure, Thriller",2024,"Hrithik Roshan, Anil Kapoor, Deepika Padukone, Sanjeeda Sheikh, Karan Singh Grover, Akshay Oberoi, Ashutosh Rana, Rishabh Sawhney, Geeta Agrawal Sharma, Vinay Varma, Seerat Mast, Banveen Singh",5.923
9237,About Last Night,Steve Pink,It's about compromise. It's about love. It's about a good wingman.,"Bernie and Joan are two fiery flirters who are passionate about everything from hookups to breakups and each other. When he sets up his best friend, Danny, with her roommate, Debbie, the sparks soon fly as they try to navigate the relationship minefields from the bar to the bedroom and are eventually put to the test in the real world.",100,"Comedy, Romance",2014,"Kevin Hart, Michael Ealy, Regina Hall, Joy Bryant, Christopher McDonald, Paula Patton, Adam Rodriguez, Jovanny Venegas, Joe Lo Truglio, Terrell Owens, Jessica Lu, Selita Ebanks",6.017
9238,Breaker Morant,Bruce Beresford,A powerful true story of bitter revenge...,"During the Boer War, three Australian lieutenants are on trial for shooting Boer prisoners. Though they acted under orders, they are being used as scapegoats by the General Staff, who hopes to distance themselves from the irregular practices of the war. The trial does not progress as smoothly as expected by the General Staff, as the defence puts up a strong fight in the courtroom.",107,"Drama, History, War",1980,"Edward Woodward, Jack Thompson, John Waters, Bryan Brown, Charles Tingwell, Terence Donovan, Vincent Ball, Ray Meagher, Chris Haywood, Russell Kiefel, Lewis Fitz-Gerald, Rod Mullinar",7.095
9239,Cyrano de Bergerac,Jean-Paul Rappeneau,,"Famed swordsman and poet Cyrano de Bergerac is in love with his cousin Roxane. He has never expressed his love for her as he his large nose undermines his self-confidence. Then he finds a way to express his love to her, indirectly.",137,"Drama, Comedy, History, Romance",1990,"Gérard Depardieu, Anne Brochet, Vincent Perez, Jacques Weber, Roland Bertin, Philippe Morier-Genoud, Pierre Maguelon, Josiane Stoléru, Alain Rimoux, Anatole Delalande, Philippe Volter, Jean-Marie Winling",7.342
9240,The Last Repair Shop,"Ben Proudfoot, Kris Bowers",,"In a warehouse in the heart of Los Angeles, a dwindling handful of devoted craftspeople maintain more than 80,000 student musical instruments, the largest remaining workshop in America of its kind. Meet four unforgettable characters whose broken-and-repaired lives have been dedicated to bringing so much more than music to the schoolchildren of this city.",40,"Documentary, Music",2024,"Dana Atkinson, Duane Michaels, Paty Moreno, Steve Bagmanyan, Ken Burget, Vincent Womack, Boris Karloff, Tom Parker, Elvis Presley",7.2
9241,El correo,Daniel Calparsoro,,"The action starts in 2002, when Spain enters the euro. It's time for opportunities, for the smart ones. Like Iván, a kid from Vallecas who finds his neighborhood too small. From his position as a valet at a luxurious golf club in the capital, he will soon take his first big step: becoming a Belgian courier for an international organization dedicated to money laundering. Iván will begin to transport briefcases to Brussels and Geneva. But Iván cannot stop looking higher. Real black money flows on the Costa del Sol. Construction businessmen, corrupt politicians, bankers, athletes, the Chinese mafia... Ivan wants his piece of the pie. This is the story of a young man who had nothing and dared to have everything. Until everything exploded. A high-voltage story about excess and delusions of grandeur, the reflection of an era that will never return. A story in which the life of Iván, our protagonist, is intertwined with the most emblematic moments of recent history.",101,"Thriller, Comedy",2024,"Arón Piper, María Pedraza, Luis Tosar, Laura Sépul, Nourdin Batán, José Manuel Poga, Luis Zahera",8.0
9242,The Marine 4: Moving Target,William Kaufman,There is no greater force than an American hero.,"WWE Superstar Mike ""The Miz"" Mizanin returns as Jake Carter where he is assigned to protect a whistleblower who wishes to expose a corrupt military defense contractor. However, the military hires a heavily armed team of mercenaries to kill her and it's up to Carter to stop them at any cost.",90,Action,2015,"Mike Mizanin, Summer Rae, Atlin Mitchell, Melissa Roxburgh, Josh Blacker, Paul McGillion, Curtis Caravaggio, Matthew MacCaull, Primo Allon, Fraser Aitcheson, Roark Critchlow, David James Lewis",6.281
9243,Little,Tina Gordon Chism,She woke up like this,"Jordan Sanders, a take-no-prisoners tech mogul, wakes up one morning in the body of her 13-year-old self right before a do-or-die presentation. Her beleaguered assistant April is the only one in on the secret that her daily tormentor is now trapped in an awkward tween body, just as everything is on the line.",108,"Comedy, Fantasy, Romance",2019,"Regina Hall, Issa Rae, Marsai Martin, Tone Bell, Mikey Day, JD McCrary, Marc Hawes, Thalia Tran, Tucker Meek, Luke James, Rachel Dratch, Justin Hartley",6.834
9244,Sleepless,Baran bo Odar,"Well it ain’t no easy grab, they got T!","Undercover Las Vegas police officer Vincent Downs, who has got a lot of enemies, is caught in a high stakes web of corrupt cops and the mob-controlled casino underground. When a heist goes wrong, a crew of homicidal gangsters get T, Downs’ teenage son. In one sleepless night, he will have to rescue his son T (whom they got), evade an internal affairs investigation and bring the kidnappers to justice.",95,"Action, Crime, Thriller",2017,"Jamie Foxx, Michelle Monaghan, Dermot Mulroney, Scoot McNairy, David Harbour, T.I., Gabrielle Union, Octavius J. Johnson, Inder Kumar, Sala Baker, Tim Connolly, Drew Sheer",5.912
9245,Welcome to the Punch,Eran Creevy,"A Stunning, Intelligent Thriller","When notorious criminal Jacob Sternwood is forced to return to London, it gives detective Max Lewinsky one last chance to take down the man he's always been after.",99,"Action, Adventure, Crime",2013,"James McAvoy, Mark Strong, David Morrissey, Peter Mullan, Daniel Mays, Andrea Riseborough, Daniel Kaluuya, Ruth Sheen, Jason Flemyng, Elyes Gabel, Jason Maza, Johnny Harris",5.853
9246,Zulu,Cy Endfield,Dwarfing the mightiest! Towering over the greatest!,"In 1879, during the Anglo-Zulu War, man-of-the-people Lt. Chard and snooty Lt. Bromhead are in charge of defending the isolated and vastly outnumbered Natal outpost of Rorke's Drift from tribal hordes.",138,"Action, Drama, History, War",1964,"Stanley Baker, Jack Hawkins, Ulla Jacobsson, James Booth, Michael Caine, Nigel Green, Paul Daneman, Patrick Magee, Glynn Edwards, Neil McCarthy, David Kernan, Gary Bond",7.371
9247,Kick the Cock,Tinto Brass,,"Kick the Cock is an old Dutch saying, meaning Peek in the Kitchen.",16,Comedy,2008,"Tinto Brass, Angelita Franco",4.0
9248,It's Kind of a Funny Story,"Ryan Fleck, Anna Boden",Sometimes what's in your head isn't as crazy as you think.,A clinically depressed teenager gets a new start after he checks himself into an adult psychiatric ward.,102,"Comedy, Drama",2010,"Keir Gilchrist, Emma Roberts, Zach Galifianakis, Viola Davis, Lauren Graham, Jim Gaffigan, Jeremy Davies, Zoë Kravitz, Bernard White, Thomas Mann, Matthew Maher, Adrian Martinez",6.979
9249,Red Beard,Akira Kurosawa,"What is the key to life - power, prestige or peace?","Aspiring to an easy job as personal physician to a wealthy family, Noboru Yasumoto is disappointed when his first post after medical school takes him to a small country clinic under the gruff doctor Red Beard. Yasumoto rebels in numerous ways, but Red Beard proves a wise and patient teacher. He gradually introduces his student to the unglamorous side of the profession, ultimately assigning him to care for a prostitute rescued from a local brothel.",185,Drama,1965,"Toshirō Mifune, Yūzō Kayama, Tsutomu Yamazaki, Reiko Dan, Miyuki Kuwano, Kyōko Kagawa, Tatsuyoshi Ehara, Terumi Niki, Akemi Negishi, Yoshitaka Zushi, Yoshio Tsuchiya, Eijirō Tōno",8.082
9250,The Replacement Killers,Antoine Fuqua,Kill or be replaced.,"Hired assassin John Lee is asked by Chinatown crime boss Terence Wei to murder the young son of policeman Stan Zedkov. Lee has the boy in his sights, but his conscience gets the better of him, and he spares the child's life. Afraid that Wei will take revenge on his family in China, Lee seeks out expert forger Meg Coburn to obtain the passport he needs to get out of the country, but a band of replacement killers is soon on his trail.",87,"Action, Crime, Thriller",1998,"Chow Yun-fat, Mira Sorvino, Michael Rooker, Kenneth Tsang, Jürgen Prochnow, Til Schweiger, Danny Trejo, Clifton Collins Jr., Carlos Gómez, Frank Medrano, Leo Lee, Patrick Kilpatrick",6.3
9251,Samurai Rebellion,Masaki Kobayashi,"In the end, we had no choice but to have it this way. We just took a roundabout path.","The mother of a feudal lord's only heir is kidnapped away from her husband by the lord. The husband and his samurai father must decide whether to accept the unjust decision, or risk death to get her back.",121,"Drama, History, Action",1967,"Toshirō Mifune, Yōko Tsukasa, Gō Katō, Tatsuyoshi Ehara, Etsuko Ichihara, Isao Yamagata, Tatsuya Nakadai, Shigeru Kōyama, Michiko Ōtsuka, Tatsuo Matsumura, Masao Mishima, Jun Hamamura",8.2
9252,Halftime,Amanda Micheli,It’s just the beginning.,Global superstar Jennifer Lopez reflects on her multifaceted career and the pressure of life in the spotlight in this intimate documentary.,95,"Documentary, Music",2022,"Jennifer Lopez, Ben Affleck, Lorene Scafaria, Shakira, Laura Dern, Constance Wu, Keke Palmer, Julia Stiles, Tom Hanks, Quentin Tarantino, Adam Blackstone, Kim Burse",6.8
9253,Morning Moon Is Cruel,Masanori Watanabe,,,98,Drama,1981,"Mio Takaki, Junnosuke Saitô, Tsunehiko Watase, Bunjaku Han, Ikko Furuya, Shin Kishida, Yasuhiro Arai, Yoko Takahashi",5.0
9254,Guess Who,Kevin Rodney Sullivan,Some in-laws were made to be broken.,"When a young African-American woman brings her fiancé home to meet her parents, she's neglected to mention one tiny detail - he's white.",105,"Comedy, Romance",2005,"Bernie Mac, Ashton Kutcher, Zoe Saldaña, Judith Scott, Hal Williams, Kellee Stewart, Jessica Cauffiel, Robert Curtis Brown, RonReaco Lee, Paula Newsome, Niecy Nash, Sherri Shepherd",5.951
9255,"Oh, Ramona!",Cristina Jacob,A fost odata... ...si inca o data!,"Oh, Ramona! seeks the transformation of Andrew from a teenager into an adult who lives candidly and selflessly his first love story, innocent and uninvolved, alternating with the second, intense and insane story, incapable of making a choice. Oh, Ramona! is the cinematic rewriting of Andrei Ciobanu's book ""Suge-o, Ramona!"".",109,"Comedy, Romance",2019,"Bogdan Iancu, Aggy K. Adams, Basil Eidenbenz, Holly Horne, Adina Stetcu, Mihaela Mihut, Ioachim Ciobanu, Smiley, Howard Dell, Andromeda Godfrey, Melanie Ebanks, Leonardo Boudreau",5.751
9256,Warlock: The Armageddon,Anthony Hickox,When he comes... All hell breaks loose.,"Every six hundred years, a great evil has the opportunity to escape and unleash Armageddon. A group of five stones has the power to either free the evil, or banish it for another six hundred years. An order of Druids battles with a Warlock determined to unleash his father upon the world.",98,"Fantasy, Horror, Science Fiction, Action",1993,"Julian Sands, Chris Young, Paula Marshall, Joanna Pacula, Steve Kahan, R. G. Armstrong, Charles Hallahan, Bruce Glover, Craig Hurley, Davis Gaines, Rebecca Street, Dawn Ann Billings",5.245
9257,Belleville Cop,Rachid Bouchareb,,"When a childhood friend from Miami gets killed after he comes to warn of encroaching drug gangs, Baaba moves to Miami and teams up with a local officer to bring down the criminals.",110,"Comedy, Crime",2018,"Omar Sy, Luis Guzmán, Franck Gastambide, Julie Ferrier, Biyouna, Diem Nguyen, Ériq Ebouaney, Issaka Sawadogo, Maïmouna Gueye, Sebastien Vandenberghe, Christopher Journet, Mike Benitez",4.976
9258,Escape from Planet Earth,Cal Brunker,Earth's greatest secrets are about to break out!,Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet.,89,"Animation, Comedy, Adventure, Family, Science Fiction",2013,"Rob Corddry, Brendan Fraser, Jessica Alba, Steve Zahn, Sarah Jessica Parker, Ricky Gervais, Gregg Binkley, Sofía Vergara, Kaitlin Olson, Ashley Eckstein, Craig Robinson, Jane Lynch",5.732
9259,Invader Zim: Enter the Florpus,"Jhonen Vasquez, Jenny Goldberg, Jake Wyatt",,"ZIM discovers his almighty leaders never had any intention of coming to Earth and he loses confidence in himself for the first time in his life, which is the big break his human nemesis, Dib has been waiting for.",71,"Family, Animation, Comedy, Science Fiction, TV Movie",2019,"Jhonen Vasquez, Melissa Fahn, Wally Wingert, Richard Steven Horvitz, Olivia d'Abo, Rosearik Rikki Simons, Andy Berman, Rodger Bumpass, Kevin McDonald, Eric Bauza, Breehn Burns, Justin Roiland",7.363
9260,The Contractor,Josef Rusnak,The world's greatest marksman is now a marked man.,"Former CIA Operative James Dial is coaxed back into action to kill a terrorist in London, but it all goes wrong and he is forced into hiding, where he meets and befriends a 12 year old girl.",105,"Action, Adventure, Drama, Thriller",2007,"Wesley Snipes, Eliza Bennett, Lena Headey, Ralph Brown, Charles Dance, Gemma Jones, Richard Harrington, Iain Robertson, Ryan McCluskey, John Standing, Stanimir Stamatov, Miroslav Emilov",5.539
9261,Topaz,Alfred Hitchcock,Hitchcock takes you behind the actual headlines to expose the most explosive spy scandal of this century!,"Copenhagen, Denmark, 1962. When a high-ranking Soviet official decides to change sides, a French intelligence agent is caught up in a cold, silent and bloody spy war in which his own family will play a decisive role.",127,"Drama, Thriller",1969,"Frederick Stafford, Dany Robin, John Vernon, Karin Dor, Michel Piccoli, Philippe Noiret, Claude Jade, Michel Subor, John Forsythe, Per-Axel Arosenius, Roscoe Lee Browne, Edmon Ryan",6.025
9262,The Glass Castle,Destin Daniel Cretton,,"A young girl is raised in a dysfunctional family constantly on the run from the FBI. Living in poverty, she comes of age guided by her drunkard, ingenious father who distracts her with magical stories to keep her mind off the family's dire state, and her selfish, nonconformist mother who has no intention of raising a family, along with her younger brother and sister, and her other older sister. Together, they fend for each other as they mature in an unorthodox journey that is their family life.",127,Drama,2017,"Brie Larson, Woody Harrelson, Naomi Watts, Max Greenfield, Sarah Snook, Ella Anderson, Sadie Sink, Robin Bartlett, Chandler Head, Iain Armitage, Brigette Lundy-Paine, Josh Caras",7.176
9263,Cabin Fever 2: Spring Fever,Ti West,This time it's spreading.,A high school prom faces a deadly threat: a flesh-eating virus that spreads via a popular brand of bottled water.,87,Horror,2009,"Rider Strong, Noah Segan, Alexi Wasser, Lindsey Axelsson, Gabrielle Tuite, Andrea Powell, Stephanie Drapeau, Giuseppe Andrews, Rusty Kelley, Lila Lucchetti, Caitlin Coons, Marc Senter",4.494
9264,Wag the Dog,Barry Levinson,"A comedy about truth, justice and other special effects.","During the final weeks of a presidential race, the President is accused of sexual misconduct. To distract the public until the election, the President's adviser hires a Hollywood producer to help him stage a fake war.",97,"Comedy, Drama",1997,"Dustin Hoffman, Robert De Niro, Anne Heche, Woody Harrelson, Denis Leary, Willie Nelson, Andrea Martin, Kirsten Dunst, William H. Macy, David Koechner, Michael Belson, Suzanne Cryer",6.955
9265,Edge of Darkness,Martin Campbell,Some secrets take us to the edge.,"As a seasoned homicide detective, Thomas Craven has seen the bleakest side of humanity. But nothing prepares him for the toughest investigation of his life: the search for his only daughter Emma's killer. Now, he is on a personal mission to uncover the disturbing secrets surrounding her murder, including corporate corruption, government collusion and Emma's own mysterious life.",117,"Crime, Drama, Mystery, Thriller",2010,"Mel Gibson, Ray Winstone, Danny Huston, Bojana Novaković, Shawn Roberts, David Aaron Baker, Jay O. Sanders, Denis O'Hare, Damian Young, Caterina Scorsone, Frank Grillo, Wayne Duvall",6.345
9266,Tini: The New Life of Violetta,Juan Pablo Buscarini,"When everything changes, the passion comes in",A teen star ventures out to the Italian countryside for a summer and emerges a new artist.,95,"Comedy, Drama, Music",2016,"Tini Stoessel, Jorge Blanco, Mercedes Lambre, Adrián Salzedo, Sofia Carson, Diego Ramos, Clara Alonso, Georgina Amorós, Beatrice Arnera, Leonardo Cecchi, Ridder van Kooten, Pasquale Di Nuzzo",7.348
9267,Thanks for Everything,Louise Archambault,,"Sisters Marianne and Christine take a road trip from Montreal to the Magdalen Islands to spread the ashes of their late father. He wasn’t exactly an angel, and his associates are hot on their trail.",99,"Comedy, Drama, Crime",2019,"Magalie Lépine-Blondeau, Julie Perreault, Robin Aubert, Aliocha Schneider, Patrick Hivon, Guy Nadon, Gilbert Sicotte, Jean-François Pichette, Louis-Georges Girard, Estelle Esse, Tammy Verge, Sacha Charles",6.7
9268,Bad Ass,Craig Moss,They messed with the wrong senior citizen.,"Decorated Vietnam hero, Frank Vega returns home only to get shunned by society leaving him without a job or his high school sweetheart. It's not until forty years later when an incident on a commuter bus makes him a local hero where he's suddenly celebrated once again. But his good fortune suddenly turns for the worse when his best friend is murdered and the police aren't doing anything about it.",90,"Action, Drama",2012,"Danny Trejo, Charles S. Dutton, Ron Perlman, Joyful Drake, Patrick Fabian, John Duffy, Winter Ave Zoli, Danny Woodburn, Richard Riehle, Harrison Page, Andy Davoli, Patricia De Leon",5.8
9269,Tea with Mussolini,Franco Zeffirelli,,"Semi-autobiographical film directed by Franco Zeffirelli, telling the story of young Italian boy Luca's upbringing by a circle of English and American women, before and during World War II.",117,"Comedy, Drama, War",1999,"Joan Plowright, Maggie Smith, Cher, Judi Dench, Lily Tomlin, Baird Wallace, Charlie Lucas, Michael Williams, Paul Chequer, Massimo Ghini, Paolo Seganti, Tessa Pritchard",6.393
9270,Killing Gunther,Taran Killam,They're Out to Change the Killing Business,"A group of eccentric assassins are fed up with Gunther, the world's greatest hitman, and decide to kill him – but their plan turns into a series of bungled encounters as Gunther seems to always be one step ahead.",93,"Action, Comedy",2017,"Arnold Schwarzenegger, Taran Killam, Dave 'Squatch' Ward, Bobby Moynihan, Hannah Simone, Marc-Anthony Massiah, Sylvesta Stuart, Reese Alexander, J.C. Williams, Eric Mazimpaka, Amitai Marmorstein, Chad Sayn",4.771
9271,Mean Streets,Martin Scorsese,Go to church on Sunday. Go to Hell on Monday.,"A small-time hood must choose from among love, friendship and the chance to rise within the mob.",111,"Drama, Crime",1973,"Harvey Keitel, Robert De Niro, David Proval, Richard Romanus, Amy Robinson, Cesare Danova, Victor Argo, George Memmoli, Lenny Scaletta, Jeannie Bell, Murray Moston, David Carradine",7.095
9272,The Green Ray,Éric Rohmer,,A lonely Parisian woman comes to terms with her isolation and anxieties during a long summer vacation.,98,"Drama, Romance",1986,"Marie Rivière, Amira Chemakhi, Sylvie Richez, María Luisa García, Béatrice Romand, Rosette, Vincent Gauthier, Basile Gervaise, Virginie Gervaise, René Hernandez, Dominique Rivière, Claude Jullien",7.471
9273,Trail of Ashes,Arturo Lizardi,,The search for the empress's daughter reunites two long lost brothers who grew up on opposite sides of a war and now must choose between family bonds and political alliances.,98,"Mystery, Fantasy",2020,"Héctor Escudero, Cecilia Argüelles, Arturo Lizardi, Jasmin Sanabria, Migdalia Rosario",3.7
9274,Boon,Derek Presley,Vengeance was his past. Justice is his fate.,"Mercenary Nick Boon is trying to atone for his life as an enforcer for a ruthless syndicate. Running from his past, Boon moves to a remote area in the pacific northwest where he meets a struggling widow and her son. When he finds the pair living in fear of a criminal kingpin, Boon realizes the only way to protect them is to do what he does best: kill.",95,"Action, Crime, Thriller, Drama, Mystery",2022,"Neal McDonough, Tommy Flanagan, Christina Ochoa, Christiane Seidel, Jason Scott Lee, Demetrius Grosse, Gabrielle Carteris, Jake Melrose, James Madio, Pat Monahan",5.486
9275,Kill the Messenger,Michael Cuesta,Can you keep a national secret?,A reporter becomes the target of a vicious smear campaign that drives him to the point of suicide after he exposes the CIA's role in arming Contra rebels in Nicaragua and importing cocaine into California. Based on the true story of journalist Gary Webb.,112,"Crime, Drama, Mystery, Thriller",2014,"Jeremy Renner, Mary Elizabeth Winstead, Michael Sheen, Ray Liotta, Robert Patrick, Andy García, Paz Vega, Michael Kenneth Williams, Rosemarie DeWitt, Tim Blake Nelson, Barry Pepper, Oliver Platt",6.6
9276,The Discreet Charm of the Bourgeoisie,Luis Buñuel,,"In Luis Buñuel’s deliciously satiric masterpiece, an upper-class sextet sits down to dinner but never eats, their attempts continually thwarted by a vaudevillian mixture of events both actual and imagined.",101,Comedy,1972,"Fernando Rey, Delphine Seyrig, Paul Frankeur, Bulle Ogier, Stéphane Audran, Jean-Pierre Cassel, Julien Bertheau, Claude Piéplu, Michel Piccoli, François Maistre, Pierre Maguelon, Maxence Mailfort",7.523
